Date,Product,Category,Quantity,Unit_Price,Total_Sales,Customer_Type,Payment,City
2026-05-16,Juice,Beverages,6,80,480,Member,Card,Hassan
2026-03-07,Coffee,Beverages,8,150,1200,Normal,Card,Bangalore
2026-12-05,Rice,Grocery,8,60,480,Normal,Net Banking,Mandya
2026-04-06,Biscuits,Snacks,7,20,140,Member,Net Banking,Tumkur
2026-02-26,Juice,Beverages,8,80,640,Member,Net Banking,Hassan
2026-12-03,Shampoo,Personal Care,2,120,240,Normal,Cash,Hassan
2026-06-23,Eggs,Dairy,9,7,63,Member,Card,Hassan
2026-05-11,Biscuits,Snacks,5,20,100,Normal,UPI,Bangalore
2026-05-30,Bread,Bakery,7,40,280,Member,Card,Bangalore
2026-12-16,Milk,Dairy,6,30,180,Normal,Card,Mandya
2026-12-16,Milk,Dairy,6,30,180,Member,Card,Hassan
2026-03-10,Milk,Dairy,1,30,30,Member,Net Banking,Tumkur
2026-05-24,Eggs,Dairy,1,7,7,Normal,Card,Mysore
2026-10-26,Shampoo,Personal Care,2,120,240,Member,Cash,Mysore
2026-01-26,Biscuits,Snacks,4,20,80,Member,Cash,Bangalore
2026-01-12,Shampoo,Personal Care,6,120,720,Member,Cash,Mysore
2026-08-13,Rice,Grocery,6,60,360,Member,UPI,Tumkur
2026-10-06,Biscuits,Snacks,9,20,180,Normal,Net Banking,Bangalore
2026-12-02,Coffee,Beverages,3,150,450,Normal,Cash,Hassan
2026-01-06,Eggs,Dairy,6,7,42,Member,UPI,Bangalore
2026-03-13,Biscuits,Snacks,2,20,40,Normal,UPI,Bangalore
2026-07-24,Milk,Dairy,5,30,150,Member,Cash,Hassan
2026-06-16,Biscuits,Snacks,5,20,100,Normal,Card,Mysore
2026-01-12,Shampoo,Personal Care,2,120,240,Member,Net Banking,Hassan
2026-01-28,Soap,Personal Care,2,35,70,Normal,UPI,Hassan
2026-10-25,Juice,Beverages,5,80,400,Normal,Cash,Tumkur
2026-04-23,Milk,Dairy,3,30,90,Member,UPI,Mandya
2026-12-13,Rice,Grocery,5,60,300,Normal,Card,Bangalore
2026-09-17,Eggs,Dairy,8,7,56,Member,Card,Hassan
2026-11-12,Soap,Personal Care,5,35,175,Normal,UPI,Mysore
2026-04-09,Biscuits,Snacks,4,20,80,Normal,Net Banking,Mandya
2026-08-13,Juice,Beverages,2,80,160,Normal,Cash,Mandya
2026-10-01,Shampoo,Personal Care,4,120,480,Member,Net Banking,Mandya
2026-02-24,Rice,Grocery,1,60,60,Normal,Cash,Bangalore
2026-12-24,Rice,Grocery,3,60,180,Normal,Card,Tumkur
2026-05-06,Soap,Personal Care,2,35,70,Normal,UPI,Hassan
2026-12-31,Shampoo,Personal Care,2,120,240,Normal,Cash,Tumkur
2026-07-23,Eggs,Dairy,5,7,35,Normal,UPI,Hassan
2026-03-15,Shampoo,Personal Care,7,120,840,Normal,Cash,Tumkur
2026-01-02,Milk,Dairy,8,30,240,Normal,Net Banking,Tumkur
